City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Mar Del Plata,AR,2021-12-05 22:51:54,-38.0023,-57.5575,66.22,80,0,15.01,clear sky
60,Barrow,US,2021-12-05 22:54:23,71.2906,-156.7887,10.56,89,100,17.05,overcast clouds
61,Berezovyy,RU,2021-12-05 22:54:23,51.6667,135.7,7.9,93,23,5.1,few clouds
62,Yellowknife,CA,2021-12-05 22:53:00,62.456,-114.3525,-19.68,84,20,3.44,few clouds
63,Ambulu,ID,2021-12-05 22:54:23,-8.345,113.6058,76.23,92,100,3.33,moderate rain
64,Dikson,RU,2021-12-05 22:54:24,73.5069,80.5464,-2.0,94,100,9.86,overcast clouds
65,Ancud,CL,2021-12-05 22:54:24,-41.8697,-73.8203,74.73,68,38,5.48,scattered clouds
66,Wodonga,AU,2021-12-05 22:54:24,-36.1167,146.8833,68.7,72,83,5.99,broken clouds
67,Necochea,AR,2021-12-05 22:54:25,-38.5473,-58.7368,63.03,75,0,9.17,clear sky
68,Norman Wells,CA,2021-12-05 22:54:25,65.282,-126.8329,-11.74,81,72,4.74,broken clouds
69,Vaini,TO,2021-12-05 22:54:25,-21.2,-175.2,80.76,89,75,13.8,broken clouds
70,Cabo San Lucas,MX,2021-12-05 22:53:23,22.8909,-109.9124,81.52,60,100,6.71,overcast clouds
71,Bagan,RU,2021-12-05 22:54:26,54.1001,77.6646,21.07,91,91,7.65,overcast clouds
72,Dubbo,AU,2021-12-05 22:54:26,-32.25,148.6167,57.33,94,90,13.8,light rain
73,Sayaxche,GT,2021-12-05 22:54:26,16.5167,-90.1667,76.62,78,6,1.16,clear sky
74,Hay River,CA,2021-12-05 22:54:27,60.8156,-115.7999,-13.02,70,1,3.44,clear sky
75,New Norfolk,AU,2021-12-05 22:54:27,-42.7826,147.0587,63.66,49,45,3.0,scattered clouds
76,Turukhansk,RU,2021-12-05 22:54:27,65.8167,87.9833,-36.74,99,21,4.63,few clouds
77,Bluff,NZ,2021-12-05 22:54:28,-46.6,168.3333,54.81,50,59,14.12,broken clouds
78,Inverness,GB,2021-12-05 22:54:28,57.4791,-4.224,34.99,88,66,1.01,broken clouds
79,Naze,JP,2021-12-05 22:54:28,28.3667,129.4833,63.52,70,66,17.31,broken clouds
80,Jamestown,US,2021-12-05 22:49:58,42.097,-79.2353,44.02,49,90,11.99,overcast clouds
81,Kavieng,PG,2021-12-05 22:54:29,-2.5744,150.7967,82.63,79,95,7.31,moderate rain
82,Monduli,TZ,2021-12-05 22:54:29,-3.3,36.45,61.61,83,98,5.06,overcast clouds
83,Port Elizabeth,ZA,2021-12-05 22:54:29,-33.918,25.5701,65.1,100,90,20.71,overcast clouds
84,Namatanai,PG,2021-12-05 22:54:30,-3.6667,152.4333,80.82,80,95,0.49,overcast clouds
85,Bay City,US,2021-12-05 22:54:30,43.5945,-83.8889,34.57,93,90,5.99,snow
86,Lamar,US,2021-12-05 22:54:30,33.6668,-95.5836,74.86,68,75,14.97,broken clouds
87,Ust-Tarka,RU,2021-12-05 22:54:31,55.5672,75.705,25.63,90,100,10.83,overcast clouds
88,Datong,CN,2021-12-05 22:54:31,40.0936,113.2914,25.43,51,0,8.28,clear sky
89,Santa Maria,BR,2021-12-05 22:54:31,-29.6842,-53.8069,81.7,54,20,6.91,few clouds
90,Puerto Ayora,EC,2021-12-05 22:54:32,-0.7393,-90.3518,76.96,85,53,9.62,broken clouds
91,Airai,TL,2021-12-05 22:54:32,-8.9266,125.4092,65.5,85,99,1.07,overcast clouds
92,Kapaa,US,2021-12-05 22:54:32,22.0752,-159.319,78.48,73,93,3.0,overcast clouds
93,Izhma,RU,2021-12-05 22:55:33,65.0083,53.9113,3.18,99,89,3.6,overcast clouds
94,Esperance,AU,2021-12-05 22:55:33,-33.8667,121.9,62.44,65,88,11.92,overcast clouds
95,Saldanha,ZA,2021-12-05 22:55:33,-33.0117,17.9442,60.85,93,14,16.93,few clouds
96,Chokurdakh,RU,2021-12-05 22:55:34,70.6333,147.9167,-42.14,99,57,5.82,broken clouds
97,Vila Velha,BR,2021-12-05 22:55:34,-20.3297,-40.2925,78.75,87,40,7.0,scattered clouds
98,Biloela,AU,2021-12-05 22:55:34,-24.4167,150.5,77.65,65,41,6.85,scattered clouds
99,Isangel,VU,2021-12-05 22:53:05,-19.55,169.2667,84.31,79,75,0.0,broken clouds
100,Tupik,RU,2021-12-05 22:55:35,54.4253,119.9327,6.03,68,3,6.73,clear sky
101,Churapcha,RU,2021-12-05 22:55:35,62.0025,132.4325,-11.74,95,100,6.06,overcast clouds
102,San Policarpo,PH,2021-12-05 22:55:36,12.1791,125.5072,79.43,77,64,14.09,broken clouds
103,Bathsheba,BB,2021-12-05 22:50:37,13.2167,-59.5167,81.21,69,75,20.71,broken clouds
104,Bredasdorp,ZA,2021-12-05 22:55:36,-34.5322,20.0403,60.28,96,100,8.48,light rain
105,Hilo,US,2021-12-05 22:55:32,19.7297,-155.09,79.29,86,75,18.41,heavy intensity rain
106,Ilulissat,GL,2021-12-05 22:51:50,69.2167,-51.1,24.37,69,100,13.96,overcast clouds
107,Arroyos Y Esteros,PY,2021-12-05 22:55:37,-25.0667,-57.1,89.35,43,94,6.46,overcast clouds
108,Xichang,CN,2021-12-05 22:55:37,27.8964,102.2634,46.71,88,52,1.97,broken clouds
109,Tuktoyaktuk,CA,2021-12-05 22:55:38,69.4541,-133.0374,-18.4,76,40,8.05,scattered clouds
110,Egvekinot,RU,2021-12-05 22:55:38,66.3167,-179.1667,-2.18,82,93,27.42,overcast clouds
111,Hami,CN,2021-12-05 22:55:38,42.8,93.45,29.12,52,99,5.37,overcast clouds
112,Ixtapa,MX,2021-12-05 22:54:46,20.7,-105.2,81.23,77,98,4.0,overcast clouds
113,Georgetown,MY,2021-12-05 22:55:39,5.4112,100.3354,76.95,81,20,5.99,few clouds
114,Kadambur,IN,2021-12-05 22:55:39,8.9833,77.8667,76.69,87,67,2.91,broken clouds
