City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
560,Ende,ID,78.4,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
569,Marabba,SD,79.59,clear sky,12.35,32.1833,
575,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
589,San Patricio,US,79.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
595,Paracuru,BR,83.1,clear sky,-3.41,-39.0306,Hotel Vento Brasil
598,Cantaura,VE,79.59,broken clouds,9.3057,-64.3584,Hotel Lorenzana
600,Koumac,NC,83.26,clear sky,-20.5667,164.2833,Le Monitel
610,Kupang,ID,81.18,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
615,San Luis Rio Colorado,MX,82.6,clear sky,32.4631,-114.7767,María Isabel Hernández Jiménez José de
618,Harper,LR,80.4,few clouds,4.375,-7.7169,Screensaver
623,Fuerte Olimpo,PY,80.04,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
625,Tevaitoa,PF,81.55,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
634,Manokwari,ID,81.57,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
640,Leticia,CO,78.85,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
641,Waounde,SN,80.92,overcast clouds,15.2637,-12.8682,
654,Waingapu,ID,79.75,light rain,-9.6567,120.2641,Pondok Wisata Elim
656,Axim,GH,80.37,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
